Q1,Q1a,Q2,Q2a,Q3,Q3a,Q4,Q4a,Q5,Q5a,Q6,Q6a,Q7,Q7a,Q8,Q8a,LOA,Q25,Q26,Q27,W1,W2,W3,W4,CR_1,Congruence_1,Dissonance_1,Koczkodaj_1
3,8,2,7,3,6,3,6,2,7,3,6,1,0,1,0,0.5,Female,33,Ghana,14,14,36,36,0.386891831,1.945910149,0,0.857142857
3,6,3,6,2,6,2,6,3,6,3,6,5,-2,3,1,1.75,Male,35,Nigeria,14,14,36,36,0.324164034,1.791759469,0,0.833333333
3,9,2,9,2,9,3,9,3,9,3,9,4,5,5,5,4.75,Male,33,Nigeria,7,21,36,36,0.247938171,1.098612289,0,0.888888889
2,6,1,5,3,5,1,4,1,4,1,4,2,3,-1,2,1.5,Female,22,China,18,60,13,10,0.402467559,1.700598691,0.333333333,0.95
3,9,3,5,3,8,3,8,3,7,3,7,5,5,5,5,5,Male,25,United Kingdom,25,25,25,25,0,0,0,0
3,9,1,6,1,6,1,5,2,7,2,8,3,5,4,4,4,Female,28,United States,46,17,5,33,0.587452275,1.868834809,0.25,0.976190476
3,9,3,9,3,9,3,9,3,8,3,8,5,5,5,5,5,Female,35,Nigeria,25,25,25,25,0,0,0,0
3,9,3,9,1,7,3,8,1,8,1,8,4,4,4,4,4,Male,39,Nigeria,31,32,32,4,0.000842652,0.066765696,0,0.125
3,5,1,7,1,8,1,8,1,8,1,8,5,5,5,5,5,Male,60,United Kingdom,43,44,10,3,0.206378917,1.039720771,0,0.875
1,9,2,9,1,7,2,8,1,9,1,8,3,2,3,3,2.75,Male,26,Switzerland,22,8,67,3,0.53684017,2.256116095,0.5,0.913580247
1,8,3,8,3,5,2,8,2,6,3,7,5,2,5,5,4.25,Male,24,Zambia,33,4,33,30,0.003916441,0.143841036,0,0.25
3,7,3,7,1,7,2,7,1,7,1,7,4,4,4,4,4,Female,34,Nigeria,30,18,48,4,0.191412468,0.972955075,0,0.857142857
1,4,2,4,3,3,2,5,2,4,3,4,1,1,1,1,1,Female,23,China,21,7,43,29,0.081114978,0.693147181,0,0.75
1,7,2,8,2,8,2,8,2,8,3,7,2,-1,4,4,2.25,Female,22,Nigeria,9,3,44,44,0.191412468,0.972955075,0,0.857142857
1,7,1,7,3,6,2,7,2,7,3,5,4,5,3,3,3.75,Male,30,France,48,4,18,30,0.191412468,0.972955075,0,0.857142857
1,6,2,7,2,7,2,6,2,8,2,8,3,3,4,4,3.5,Female,24,Russia,9,3,22,66,0.357841905,1.868834809,0.166666667,0.875
1,9,1,9,3,9,2,9,2,9,2,9,5,5,3,5,4.5,Female,23,India,44,3,9,44,0.247938171,1.098612289,0,0.888888889
1,6,1,6,2,7,1,5,2,7,2,7,-1,2,2,2,1.25,Female,27,Nigeria,23,9,4,65,0.291114262,1.700598691,0,0.833333333
1,8,2,8,2,9,3,8,2,8,2,8,3,1,1,5,2.5,Female,28,Nigeria,8,5,15,72,0.770703014,2.079441542,0.25,0.984375
3,6,1,7,3,7,3,5,1,6,3,7,4,4,4,4,4,Female,32,Nigeria,37,35,14,14,0.355443751,1.868834809,0,0.857142857
1,9,3,9,2,9,2,9,2,9,3,9,5,5,5,5,5,Female,,Nigeria,17,3,29,51,0.247938171,1.098612289,0,0.888888889
1,6,1,5,2,7,3,6,3,7,3,6,2,4,4,2,3,Female,26,Nigeria,33,15,15,37,0.762667943,1.868834809,0.333333333,0.976190476
1,4,3,4,3,3,2,6,2,5,3,4,2,2,2,2,2,Female,26,Nigeria,30,6,33,31,0.005859626,0.202732554,0,0.333333333
2,7,3,7,2,7,1,5,1,7,3,8,1,4,4,3,3,Female,29,Nigeria,6,66,11,17,0.19683107,1.141191193,0,0.857142857
1,8,3,9,3,8,2,8,2,8,3,8,1,-2,1,1,0.25,Male,25,India,32,4,32,32,0,0,0,0
3,8,3,7,1,8,1,7,1,9,1,8,2,3,4,5,3.5,Male,25,Greece,29,49,18,4,0.179944333,0.972955075,0,0.857142857
1,8,3,8,3,9,2,8,2,9,3,9,4,3,4,5,4,Male,30,Nigeria,32,4,32,33,0.000655558,0.058891518,0,0.111111111
1,7,1,8,3,7,3,8,2,7,2,7,4,4,4,4,4,Male,31,Nigeria,45,6,6,43,0.000842652,0.066765696,0,0.125
1,8,1,8,1,8,2,8,2,7,2,8,3,1,1,3,2,Female,24,China,66,3,8,23,0.447860738,2.079441542,0.166666667,0.890625
1,7,3,5,3,9,2,9,3,9,3,9,5,4,5,5,4.75,Female,23,Cyprus,35,8,37,21,0.221367061,1.098612289,0,0.888888889
1,9,3,9,2,9,3,9,2,9,2,9,4,5,5,5,4.75,Female,25,Nigeria,14,5,8,73,0.247938171,1.098612289,0,0.888888889
1,9,3,9,2,9,3,6,2,9,2,9,5,3,3,5,4,Male,,Nigeria,14,5,8,73,0.247938171,1.098612289,0,0.888888889
2,5,2,5,2,5,2,5,2,5,2,5,3,1,4,4,3,Male,37,Nigeria,5,12,26,58,0.258231887,1.609437912,0,0.8
1,9,3,9,2,9,2,9,2,9,2,9,5,5,5,5,5,Female,26,Nigeria,14,3,14,70,0.247938171,1.098612289,0,0.888888889
1,9,1,7,3,7,2,9,2,9,2,7,3,3,3,3,3,Male,25,Nigeria,43,3,10,43,0.191412468,0.972955075,0,0.857142857
3,7,2,8,2,9,3,8,2,9,2,9,4,4,5,5,4.5,Female,24,Nigeria,5,8,14,73,0.220400459,1.039720771,0,0.875
1,9,1,7,1,6,2,8,2,9,2,8,4,5,-1,-3,1.25,Male,34,Nigeria,62,3,9,26,0.358513051,1.876708988,0.083333333,0.859375
1,7,3,7,3,7,2,7,3,7,3,7,3,3,4,3,3.25,Female,24,Laos,35,8,35,22,0.191412468,0.972955075,0,0.857142857
2,8,3,8,3,9,3,9,3,9,3,9,5,5,5,5,5,Male,25,Nigeria,14,39,23,23,0.220400459,1.039720771,0,0.875
3,7,2,7,2,8,3,7,2,7,2,7,3,3,3,3,3,Male,26,Nigeria,6,10,16,69,0.178531513,0.972955075,0,0.857142857
1,9,3,9,3,9,2,9,2,9,2,9,5,-5,5,5,2.5,Male,28,Nigeria,29,3,17,51,0.247938171,1.098612289,0,0.888888889
2,7,3,6,2,6,3,5,3,5,3,6,0,4,0,3,1.75,Male,30,Nigeria,9,35,22,34,0.17672419,0.972955075,0,0.857142857
2,9,3,7,3,9,3,7,3,8,3,9,-2,5,5,5,3.25,Male,30,Nigeria,13,40,23,23,0.247938171,1.098612289,0,0.888888889
3,8,3,9,2,9,1,9,2,9,2,9,-3,2,-2,3,0,Female,26,Nigeria,8,14,5,73,0.247938171,1.098612289,0,0.888888889
3,6,1,7,3,6,1,9,3,6,2,8,3,3,3,4,3.25,Male,29,Nigeria,31,33,4,32,0.002242917,0.125657214,0,0.222222222
1,9,1,9,3,9,2,9,2,9,3,8,5,2,2,3,3,Female,30,Nigeria,51,3,17,29,0.247938171,1.098612289,0,0.888888889
3,6,1,6,2,8,3,6,2,7,2,7,5,5,5,5,5,Female,31,Nigeria,15,10,6,70,0.174435459,0.962645431,0.083333333,0.854166667
3,5,1,8,2,9,2,7,2,8,2,8,3,2,2,2,2.25,Male,30,Nigeria,14,5,8,72,0.724849715,2.071567363,0.25,0.982142857
3,9,1,6,1,6,3,9,2,9,3,9,5,3,2,3,3.25,Female,31,Nigeria,51,12,13,23,0.699064855,1.994492023,0.166666667,0.981481481
1,8,3,7,2,9,2,7,2,9,2,9,4,4,4,4,4,Male,27,Nigeria,13,3,13,71,0.206378917,1.039720771,0,0.875
3,9,3,9,2,9,2,9,2,9,3,8,5,5,5,5,5,Female,29,Nigeria,10,6,31,53,0.247938171,1.098612289,0,0.888888889
1,9,1,9,3,9,2,6,2,7,2,7,5,5,3,5,4.5,Female,25,Nigeria,47,4,9,41,0.163818472,1.021536949,0,0.833333333
2,7,3,6,2,8,1,6,3,7,2,7,-2,3,-1,4,1,Female,27,Nigeria,6,42,7,45,0.001965772,0.143841036,0,0.142857143
3,7,1,7,2,8,1,8,3,8,2,9,5,5,5,4,4.75,Male,29,Nigeria,17,29,4,50,0.194983849,1.039720771,0,0.875
2,9,2,8,2,9,3,8,3,8,3,8,2,3,3,2,2.5,Male,25,Nigeria,4,32,31,32,0.000655558,0.058891518,0,0.111111111
1,7,2,8,2,8,2,7,2,5,1,7,3,3,3,5,3.5,Female,22,Nigeria,8,4,65,23,0.426904533,2.012675845,0.25,0.910714286
1,6,1,6,3,5,3,4,2,5,2,5,3,3,2,3,2.75,Male,24,Nigeria,44,8,8,40,0.001571435,0.091160778,0,0.166666667
3,8,2,8,3,8,1,8,1,8,2,8,5,5,5,5,5,Female,25,India,12,56,12,20,1.289766035,3.119162313,0.333333333,0.984375
1,7,1,7,2,7,2,7,2,7,2,7,4,4,4,4,4,Male,28,United States,24,3,9,63,0.386891831,1.945910149,0,0.857142857
1,6,1,7,2,8,2,7,2,8,2,7,4,4,-3,3,2,Male,26,Nigeria,22,3,9,66,0.38952267,1.945910149,0.25,0.87755102
2,7,2,7,2,9,3,8,2,8,2,8,3,3,3,3,3,Male,23,Nigeria,3,14,14,69,0.167756696,0.914063557,0,0.839285714
1,8,2,8,3,8,2,8,2,7,1,8,3,1,2,2,2,Male,20,Nigeria,14,3,69,14,0.206378917,1.039720771,0,0.875
1,8,2,8,1,6,2,5,2,6,2,7,-3,4,-2,2,0.25,Male,37,United Kingdom,31,5,31,33,1.708599106,2.90855558,0.5,0.99702381
2,6,2,6,3,6,3,6,3,6,3,6,2,2,3,3,2.5,Male,27,Nigeria,9,34,34,22,0.16080706,0.895879735,0,0.833333333
1,7,2,7,2,8,3,8,2,9,2,9,4,4,5,4,4.25,Female,24,Ecuador,9,5,14,73,0.658142506,1.945910149,0.25,0.979591837
2,5,1,5,2,5,1,2,2,5,2,5,5,5,5,5,5,Female,25,United Kingdom,12,21,7,60,0.309377667,1.609437912,0.166666667,0.92
1,4,2,6,2,6,1,5,2,6,3,5,5,5,5,5,5,Female,30,Nigeria,12,14,22,52,1.139137063,2.393745871,0.416666667,0.991666667
1,6,3,6,2,8,3,6,2,7,2,7,2,2,3,5,3,Male,30,Nigeria,15,6,10,70,0.174435459,0.962645431,0.083333333,0.854166667
1,9,1,9,1,9,2,9,2,9,2,9,5,4,4,4,4.25,Male,33,Nigeria,68,3,8,22,0.503905266,2.197224577,0,0.888888889
1,6,1,8,2,8,2,7,2,7,2,8,4,4,5,3,4,Male,34,Nigeria,22,3,8,66,0.448245714,2.079441542,0.333333333,0.892857143
3,6,3,6,3,6,1,5,3,6,2,6,0,-2,0,4,0.5,Female,23,Nigeria,22,33,10,35,0.145454716,0.895879735,0,0.833333333
1,6,1,6,2,8,1,6,2,7,2,8,-1,-1,1,0,-0.25,Female,33,Ghana,21,9,4,67,0.325259917,1.791759469,0.083333333,0.854166667
2,6,3,6,1,6,2,6,2,6,2,6,3,2,2,2,2.25,Male,35,Nigeria,24,15,24,37,1.877507444,3.583518938,0.583333333,0.99537037
3,9,3,9,3,9,3,9,3,9,3,9,5,5,5,5,5,Male,33,Nigeria,25,25,25,25,0,0,0,0
1,8,2,7,1,6,2,6,2,6,3,6,4,3,-1,2,2,Female,22,China,30,4,47,18,0.6047669,1.868834809,0.333333333,0.976190476
1,4,3,6,3,9,2,5,3,5,3,5,5,5,5,5,5,Male,25,United Kingdom,32,11,34,23,0.112534858,0.804718956,0,0.8
1,9,1,8,1,9,2,9,2,8,1,9,1,5,-1,0,1.25,Female,28,United States,66,3,24,7,0.446704654,2.079441542,0,0.875
1,8,3,9,3,9,2,8,2,8,3,9,5,5,5,5,5,Female,35,Nigeria,32,4,32,32,0,0,0,0
1,8,3,7,3,9,2,7,2,8,3,8,3,3,3,3,3,Male,39,Nigeria,32,4,31,32,0.000842652,0.066765696,0,0.125
3,5,1,6,1,6,1,7,3,6,2,8,0,0,1,1,0.5,Male,60,United Kingdom,45,30,4,20,0.191784727,1.039720771,0.083333333,0.875
1,6,2,7,2,7,2,8,2,7,2,7,2,4,3,3,3,Male,26,Switzerland,9,3,25,63,0.357841905,1.868834809,0.083333333,0.875
